"ORIGIN","DATE","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","MKT_UNIQUE_CARRIER","ORIGIN_STATE_ABR","DEST","DEST_STATE_ABR","DEP_DEL15","DISTANCE","Rain","Windy","Snowday"
"DFW","2021-01-01",1,1,1,5,"AA","TX","LIT","AR",0,304,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","LAS","NV",0,1055,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","TUL","OK",0,237,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","XNA","AR",0,280,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","MDT","PA",0,1231,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","BHM","AL",1,597,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","RSW","FL",0,1017,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","CLT","NC",0,936,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","MSN","WI",0,821,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","ASE","CO",0,701,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","CMH","OH",0,926,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","MFE","TX",0,469,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","CLE","OH",0,1021,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","HOU","TX",1,247,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","PHX","AZ",0,868,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","BUR","CA",0,1231,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","BOS","MA",0,1562,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","LAS","NV",0,1055,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","PHX","AZ",0,868,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","SNA","CA",0,1205,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","LEX","KY",0,785,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","SWO","OK",0,225,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","LAS","NV",0,1055,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","MCO","FL",0,985,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","ATL","GA",1,731,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","SFO","CA",0,1464,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","SEA","WA",1,1660,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","OKC","OK",1,175,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","MLI","IL",1,691,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","KOA","HI",0,3724,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","EYW","FL",0,1089,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","ABQ","NM",0,569,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","AVL","NC",0,848,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","SHV","LA",0,190,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","BZN","MT",0,1163,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","LGA","NY",0,1389,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","ORD","IL",0,801,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","TUL","OK",0,237,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","ONT","CA",0,1188,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","LAX","CA",1,1235,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","MTJ","CO",1,722,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","SPS","TX",0,113,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","DAY","OH",0,861,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","PSP","CA",0,1126,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","ROW","NM",0,435,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","OKC","OK",0,175,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","SAF","NM",0,551,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","BUF","NY",0,1212,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","DCA","VA",1,1192,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","GEG","WA",0,1477,1,0,0
"DFW","2021-01-01",1,1,1,5,"NK","TX","LAS","NV",0,1055,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","MCI","MO",0,460,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","RSW","FL",0,1017,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","MSN","WI",0,821,1,0,0
"DFW","2021-01-01",1,1,1,5,"AS","TX","SEA","WA",0,1660,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","MIA","FL",0,1121,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","MAF","TX",0,309,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","SAT","TX",0,247,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","TUL","OK",0,237,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","AUS","TX",0,190,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","GSP","SC",0,862,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","IND","IN",0,761,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","FLL","FL",0,1119,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","PDX","OR",0,1616,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","VPS","FL",0,641,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","GPT","MS",0,500,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","LFT","LA",0,351,1,0,0
"DFW","2021-01-01",1,1,1,5,"F9","TX","MIA","FL",0,1121,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","RDU","NC",0,1061,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","AMA","TX",1,312,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","COS","CO",0,592,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","ACT","TX",0,89,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","DAY","OH",0,861,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","MIA","FL",0,1121,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","PHL","PA",0,1303,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","AEX","LA",0,285,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","CLL","TX",0,164,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","BNA","TN",0,631,1,0,0
"DFW","2021-01-01",1,1,1,5,"UA","TX","EWR","NJ",0,1372,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","IAH","TX",1,224,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","ECP","FL",0,685,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","XNA","AR",1,280,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","TUS","AZ",0,813,1,0,0
"DFW","2021-01-01",1,1,1,5,"UA","TX","DEN","CO",0,641,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","PIT","PA",0,1067,1,0,0
"DFW","2021-01-01",1,1,1,5,"NK","TX","LAS","NV",0,1055,1,0,0
"DFW","2021-01-01",1,1,1,5,"AA","TX","IND","IN",0,761,1,0,0
